red_mean,green_mean,rg_ratio,glcm_contrast,hsv_hue_mean,intensity_std,hsv_saturation_mean,glcm_energy,edge_density,color_variance,label
97.60427856445312,108.96537780761719,0.8957366058147465,20.848708579632934,89.33485412597656,21.755513998985016,40.61930847167969,0.06922221139011824,0.23956298828125,489.06492515273084,0
123.3863525390625,131.74398803710938,0.9365615345403523,78.45867942918622,92.82713317871094,39.825977767486556,58.952056884765625,0.040202743231442545,0.343536376953125,1873.4200581532593,0
113.14971923828125,113.46574401855469,0.9972147912991559,116.60902198072887,103.89445495605469,45.9024515268973,48.4788818359375,0.03853336227863255,0.3401336669921875,2286.187880751832,0
105.64024353027344,105.94265747070312,0.9971454846914823,115.91006023825015,89.01533508300781,51.009063455295966,57.95367431640625,0.04730084275621134,0.3313446044921875,2695.6327497939733,0
102.56259155273438,115.19847106933594,0.8903120823599444,11.669059466311053,91.21385192871094,14.683382523375174,35.98240661621094,0.09132504200163696,0.1836395263671875,288.91931224327226,0
112.57139587402344,112.12284851074219,1.0040004902233446,148.35666262675454,107.89521789550781,49.98195091720467,53.1202392578125,0.03320752704083437,0.344512939453125,2648.6151672096457,0
122.37748718261719,125.22250366210938,0.9772803020737449,117.06764854563195,100.329345703125,44.205812025099924,50.11228942871094,0.029860363229410464,0.3621826171875,2189.5318197759334,0
120.30451965332031,124.60667419433594,0.9654741165807851,127.45484212802828,94.28440856933594,44.39339184436953,66.0765380859375,0.028934556845816556,0.362335205078125,2266.3123701125537,0
106.49951171875,117.56242370605469,0.9058975432416807,7.073252730320089,88.43016052246094,19.962548611090863,36.63471984863281,0.09780387067888387,0.1071624755859375,483.85729533666745,0
109.49647521972656,115.83274841308594,0.9452980765330643,19.099863363850506,105.63935852050781,26.26950022541398,30.906097412109375,0.06931578098577605,0.196990966796875,738.5590914759474,0
88.64741516113281,103.8408203125,0.8536856126585908,37.14358298190609,86.24610900878906,23.82594697313978,54.834228515625,0.053533869932335214,0.329010009765625,634.2531800533179,0
113.01573181152344,107.48602294921875,1.0514458313661055,154.2036215938585,108.04774475097656,46.538713458991765,50.00050354003906,0.029277666652857005,0.35406494140625,2278.737701907366,0
113.65835571289062,112.99639892578125,1.0058582024519733,113.40306952254016,96.56210327148438,44.87865582706582,54.140533447265625,0.030884174998717075,0.3466644287109375,2231.306718776313,0
102.31832885742188,109.58895874023438,0.9336554439421039,13.476022248053646,112.59249877929688,23.823168840723483,32.41990661621094,0.07711205893011075,0.1570892333984375,674.6706032610188,0
106.76512145996094,118.65374755859375,0.8998040328008521,25.858995969098494,94.52925109863281,17.71939271473502,32.87879943847656,0.07541908179503355,0.259033203125,425.3112501556364,0
124.43634033203125,127.41091918945312,0.9766536506211647,97.63312650182648,99.69743347167969,47.559538611899676,47.91114807128906,0.03314174565798128,0.3485107421875,2474.43474785386,0
115.08279418945312,119.5233154296875,0.9628480670309494,62.0269590572137,98.30635070800781,47.87112754032082,58.387420654296875,0.039889318617558234,0.299835205078125,2565.67992431197,0
116.37739562988281,117.3602294921875,0.9916254862641045,92.6800961018601,96.25865173339844,46.505663980813836,52.350555419921875,0.03622542794050747,0.3394317626953125,2314.973236967344,0
117.12765502929688,121.46064758300781,0.9643259475043087,116.04516873017654,83.62588500976562,45.706449787457586,55.389312744140625,0.03012913417720823,0.360382080078125,2333.514135381983,0
121.01777648925781,132.3887939453125,0.9141089058122188,8.348818678513089,94.32090759277344,18.914529992556545,31.239471435546875,0.09848713699366882,0.1047515869140625,431.47827085712925,0
112.94638061523438,125.16716003417969,0.9023643236934314,13.233707783664945,85.46469116210938,21.4512957156086,38.81492614746094,0.07291087726126018,0.20947265625,578.8203860619882,0
111.28982543945312,118.99900817871094,0.9352164039645047,105.75042265895382,89.92063903808594,42.22969371322459,57.69317626953125,0.034908465922511775,0.3516845703125,2061.615522195197,0
119.55029296875,129.32839965820312,0.9243931909797966,9.047280553152657,97.03536987304688,21.396707675952328,37.66569519042969,0.09222382280651552,0.119781494140625,600.6497530685738,0
100.83253479003906,113.85147094726562,0.8856498125623115,29.110160094675248,91.27053833007812,22.53418979580488,43.19140625,0.059024088306559426,0.3002166748046875,596.3017445555888,0
80.72486877441406,90.0889892578125,0.8960569825835474,47.59764256836329,108.48841857910156,25.10580387814759,47.29502868652344,0.051756440788688754,0.3257598876953125,740.7826030747188,0
111.63180541992188,108.65769958496094,1.027371321304885,161.7736886954538,98.25933837890625,51.09456584260659,56.242828369140625,0.03188103763590196,0.34161376953125,2785.5978427350833,0
113.18788146972656,122.68826293945312,0.9225648634622867,33.923919105632606,103.632080078125,25.86105551325967,37.105224609375,0.054967139284440705,0.3065338134765625,818.6290846596627,0
122.75123596191406,124.78959655761719,0.9836656128748072,87.38909590061547,92.447265625,45.736452812900545,53.36967468261719,0.03344634346502758,0.342926025390625,2369.7419636365958,0
121.62657165527344,125.1385498046875,0.9719352739277327,128.81071067918612,87.79928588867188,45.24499337197121,45.3875732421875,0.029106166394650048,0.3635101318359375,2193.178871578149,0
114.03973388671875,112.29591369628906,1.0155287856654978,150.56080364222913,94.39848327636719,48.92180971499473,50.404022216796875,0.03412468336404829,0.3477630615234375,2481.5251135216095,0
110.84466552734375,116.36773681640625,0.9525377704104185,41.49799851619578,109.13316345214844,27.230298982133817,25.999969482421875,0.04875131329265113,0.3257293701171875,764.4623435384905,0
88.99806213378906,97.00711059570312,0.9174385328026938,43.38069587117951,90.54739379882812,26.46745513637639,37.12324523925781,0.04930432213655289,0.3323822021484375,706.9594715975691,0
